Año,Trimestre,Provincia,Accesos por cada 100 hogares,KPI_Aumento_Acceso,Cumple_Meta_2%,Año_Trimestre
2021,4,Misiones,49.064620730585,7.667142759706692,True,2021-T4
2022,1,Misiones,49.0433419977295,-0.043368791073188064,False,2022-T1
2022,2,Misiones,51.0,3.9896506285421705,True,2022-T2
2022,3,Misiones,51.82,1.6078431372549025,False,2022-T3
2022,4,Misiones,52.85,1.9876495561559264,False,2022-T4
2023,1,Misiones,53.97,2.1192052980132403,True,2023-T1
2023,2,Misiones,55.18,2.2419862886788975,True,2023-T2
2023,3,Misiones,55.51,0.598042769119243,False,2023-T3
2023,4,Misiones,56.27,1.3691226805980996,False,2023-T4
2024,1,Misiones,56.76,0.87080149280255,False,2024-T1
2024,2,Misiones,57.73,1.7089499647639161,False,2024-T2
2014,1,Neuquén,49.7916051913856,,False,2014-T1
2014,2,Neuquén,50.8427490584487,2.1110865235671517,True,2014-T2
2014,3,Neuquén,56.3954110270698,10.921246532593601,True,2014-T3
2014,4,Neuquén,52.5549896972496,-6.809811755741603,False,2014-T4
2015,1,Neuquén,51.9544367381025,-1.1427134942023038,False,2015-T1
2015,2,Neuquén,53.1173365932314,2.238307117043669,True,2015-T2
2015,3,Neuquén,54.5993148967112,2.7900086836594964,True,2015-T3
2015,4,Neuquén,58.2893377687955,6.758368450345826,True,2015-T4
2016,1,Neuquén,55.7539370042541,-4.349681882813732,False,2016-T1
2016,2,Neuquén,59.098285533662,5.998407841858279,True,2016-T2
2016,3,Neuquén,60.2148508885395,1.8893362891915246,False,2016-T3
2016,4,Neuquén,60.8736672281991,1.094109393177941,False,2016-T4
2017,1,Neuquén,61.0230200678275,0.24534884528726572,False,2017-T1
2017,2,Neuquén,61.9101342766616,1.4537369796645025,False,2017-T2
2017,3,Neuquén,60.8304131050389,-1.7440136162484885,False,2017-T3
2017,4,Neuquén,61.242323177851,0.6771449539572134,False,2017-T4
2018,1,Neuquén,61.5173903515637,0.44914555725439975,False,2018-T1
2018,2,Neuquén,60.2367916140203,-2.0816857318311923,False,2018-T2
2018,3,Neuquén,60.4866167439691,0.4147384401706011,False,2018-T3
2018,4,Neuquén,59.0691692663678,-2.343406779719794,False,2018-T4
2019,1,Neuquén,58.8780043343749,-0.3236289495300973,False,2019-T1
2019,2,Neuquén,63.0809643276744,7.1384212845095965,True,2019-T2
2019,3,Neuquén,64.1388726949158,1.6770643545429842,False,2019-T3
2019,4,Neuquén,59.3559009282245,-7.457212086408315,False,2019-T4
2020,1,Neuquén,61.8474936235507,4.1977169183888385,True,2020-T1
2020,2,Neuquén,63.8984690337643,3.3161819340608156,True,2020-T2
2020,3,Neuquén,65.2441702553022,2.105999160679136,True,2020-T3
2020,4,Neuquén,67.0023452204809,2.6947617822388183,True,2020-T4
2021,1,Neuquén,66.8420894204527,-0.2391793891704317,False,2021-T1
2021,2,Neuquén,69.1402108463862,3.438135231646889,True,2021-T2
2021,3,Neuquén,69.7065334450161,0.8190929586375567,False,2021-T3
2021,4,Neuquén,73.3001625402001,5.155369113310766,True,2021-T4
